0	1.000000
50	0.113680
100	0.079050
150	0.064470
200	0.056060
250	0.050530
300	0.046080
350	0.043660
400	0.039950
450	0.037340
500	0.036050
550	0.034790
600	0.031430
650	0.032060
700	0.029810
750	0.029060
800	0.028400
850	0.027640
900	0.026170
950	0.026240
1000	0.025110
1050	0.024310
1100	0.023050
1150	0.023100
1200	0.023060
1250	0.022040
1300	0.022580
1350	0.022450
1400	0.020350
1450	0.020560
1500	0.021140
1550	0.020880
1600	0.019000
1650	0.019820
1700	0.019490
1750	0.018910
1800	0.018710
1850	0.018360
1900	0.018940
1950	0.017820
2000	0.017270
2050	0.016890
2100	0.016890
2150	0.017120
2200	0.017520
2250	0.015830
2300	0.016490
2350	0.016470
2400	0.015810
2450	0.015620
2500	0.016240
2550	0.015640
2600	0.016680
2650	0.015480
2700	0.015390
2750	0.015370
2800	0.014920
2850	0.014970
2900	0.014670
2950	0.014670
3000	0.015360
3050	0.014010
3100	0.013730
3150	0.014010
3200	0.014470
3250	0.014070
3300	0.014230
3350	0.013270
3400	0.014480
3450	0.013810
3500	0.012690
3550	0.013610
3600	0.012860
3650	0.013790
3700	0.013060
3750	0.012830
3800	0.012690
3850	0.012630
3900	0.012970
3950	0.012740
4000	0.013100
4050	0.012790
4100	0.012230
4150	0.012430
4200	0.012030
4250	0.012680
4300	0.012030
4350	0.012710
4400	0.011390
4450	0.011950
4500	0.012260
4550	0.011700
4600	0.011860
4650	0.010960
4700	0.011290
4750	0.011460
4800	0.012020
4850	0.010870
4900	0.010780
4950	0.011530
5000	0.010860
