gamma    integral   efficiency
0.100000 0.358332 0.196340
0.200000 0.660705 0.219840
0.300000 0.932679 0.244470
0.400000 1.175065 0.270050
0.500000 1.387851 0.298320
0.600000 1.542515 0.331020
0.700000 1.688356 0.360840
0.800000 1.807485 0.394220
0.900000 1.907969 0.427450
1.000000 1.994547 0.460490
1.100000 2.058166 0.494780
1.200000 2.113857 0.528580
1.300000 2.155927 0.561330
1.400000 2.197902 0.592930
1.500000 2.239686 0.622110
1.600000 2.279510 0.650280
1.700000 2.328428 0.675260
1.800000 2.375592 0.699170
1.900000 2.430536 0.720960
2.000000 2.490225 0.741260
2.100000 2.555501 0.758910
2.200000 2.619627 0.775440
2.300000 2.687385 0.792400
2.400000 2.759612 0.805760
2.500000 2.821329 0.817710
2.600000 2.864516 0.825660
2.700000 2.883298 0.829410
2.799999 2.877683 0.827950
2.899999 2.858153 0.823500
2.999999 2.821481 0.813940
3.099999 2.780172 0.801590
3.199999 2.723244 0.785840
3.299999 2.663111 0.768580
3.399999 2.605398 0.749090
3.499999 2.546496 0.728130
3.599999 2.489047 0.707380
3.699999 2.430820 0.685370
3.799999 2.378786 0.663380
3.899998 2.327307 0.641300
3.999998 2.278887 0.621020
4.099998 2.231777 0.600310
4.199998 2.186496 0.580630
4.299998 2.144276 0.560930
4.399998 2.102732 0.541170
4.499998 2.063024 0.522380
4.599998 2.029018 0.505690
4.699998 1.993968 0.488150
4.799998 1.961804 0.470760
4.899998 1.932429 0.455630
4.999998 1.899965 0.442060
5.099998 1.874240 0.427360
5.199997 1.851593 0.414380
5.299997 1.823775 0.401380
5.399997 1.800936 0.389280
5.499997 1.773682 0.376850
5.599997 1.754833 0.365570
5.699997 1.735321 0.354490
5.799997 1.715101 0.343780
5.899997 1.693738 0.333190
5.999997 1.676039 0.323030
6.099997 1.661541 0.314160
6.199996 1.647042 0.306570
6.299996 1.631463 0.298580
6.399996 1.618498 0.291340
6.499996 1.606321 0.283870
6.599996 1.592648 0.275880
6.699996 1.581973 0.268470
6.799996 1.569399 0.261530
6.899996 1.559876 0.255160
6.999996 1.545973 0.248340
7.099996 1.534377 0.241890
7.199996 1.522910 0.235720
7.299995 1.510344 0.229770
7.399995 1.499611 0.223360
7.499995 1.490828 0.218710
7.599995 1.478685 0.213120
7.699995 1.479627 0.208860
7.799995 1.471289 0.203920
7.899995 1.463120 0.199160
7.999995 1.452547 0.194860
8.099995 1.445351 0.190450
8.199995 1.434682 0.185840
8.299995 1.428484 0.182240
8.399996 1.420770 0.177890
8.499996 1.415856 0.174930
8.599997 1.410349 0.171380
8.699997 1.404567 0.168080
8.799997 1.399235 0.164810
8.899998 1.393233 0.161920
8.999998 1.386795 0.158840
9.099998 1.384665 0.155960
9.199999 1.380474 0.153200
9.299999 1.375229 0.150760
9.400000 1.366835 0.147810
9.500000 1.363450 0.145560
9.600000 1.356909 0.142710
9.700001 1.352768 0.140100
9.800001 1.347770 0.137880
9.900002 1.342054 0.135100
10.000002 1.336154 0.132520
10.100002 1.329601 0.129940
10.200003 1.325343 0.127920
10.300003 1.323000 0.126020
10.400003 1.319718 0.124150
10.500004 1.313269 0.122250
10.600004 1.309283 0.119720
10.700005 1.306821 0.117650
10.800005 1.302917 0.115770
10.900005 1.300890 0.114590
11.000006 1.300562 0.113100
11.100006 1.296748 0.111630
11.200006 1.291504 0.109560
11.300007 1.288179 0.107960
11.400007 1.283625 0.106030
11.500008 1.281103 0.104310
11.600008 1.275652 0.102690
11.700008 1.272409 0.101340
11.800009 1.271598 0.099790
11.900009 1.269252 0.098580
12.000010 1.265878 0.097150
12.100010 1.263386 0.095750
12.200010 1.262874 0.094540
12.300011 1.259617 0.092800
12.400011 1.257569 0.091480
12.500011 1.254977 0.090700
12.600012 1.252089 0.091300
12.700012 1.251552 0.089960
12.800013 1.249522 0.088540
12.900013 1.244817 0.087280
13.000013 1.242626 0.086200
13.100014 1.239848 0.084900
13.200014 1.237129 0.083990
13.300014 1.234338 0.082910
13.400015 1.233781 0.081880
13.500015 1.229499 0.080980
13.600016 1.227224 0.079900
13.700016 1.222938 0.078720
13.800016 1.222544 0.077770
13.900017 1.223752 0.076980
14.000017 1.223796 0.076210
14.100018 1.221086 0.075050
14.200018 1.220116 0.073850
14.300018 1.219827 0.072970
14.400019 1.217400 0.072220
14.500019 1.216149 0.071470
14.600019 1.214524 0.070470
14.700020 1.211314 0.070020
14.800020 1.210476 0.069100
14.900021 1.198584 0.067780
15.000021 1.198864 0.067650
15.100021 1.199760 0.067130
15.200022 1.199253 0.066380
15.300022 1.195858 0.065500
15.400023 1.193360 0.064650
15.500023 1.193125 0.063950
15.600023 1.189357 0.063200
15.700024 1.188351 0.062710
15.800024 1.185177 0.061930
15.900024 1.182175 0.061110
16.000025 1.181386 0.060530
16.100025 1.180482 0.059790
16.200026 1.179494 0.059230
16.300026 1.178336 0.058580
16.400026 1.177638 0.058180
16.500027 1.174961 0.057660
16.600027 1.176044 0.057140
16.700027 1.175524 0.056470
16.800028 1.174220 0.055910
16.900028 1.172221 0.055530
17.000029 1.169292 0.054710
17.100029 1.168667 0.054250
17.200029 1.168371 0.053220
17.300030 1.168875 0.052790
17.400030 1.167173 0.052620
17.500031 1.165557 0.052160
17.600031 1.165300 0.051550
17.700031 1.163504 0.051260
17.800032 1.160503 0.050700
17.900032 1.158674 0.050300
18.000032 1.157532 0.049910
18.100033 1.153193 0.049120
18.200033 1.152590 0.048350
18.300034 1.154034 0.048020
18.400034 1.155024 0.047870
18.500034 1.153154 0.047550
18.600035 1.151100 0.047290
18.700035 1.150934 0.046870
18.800035 1.152080 0.046460
18.900036 1.151157 0.045930
19.000036 1.149525 0.045760
19.100037 1.147605 0.045260
19.200037 1.146641 0.044960
19.300037 1.147696 0.044670
19.400038 1.146691 0.044310
19.500038 1.155487 0.043040
19.600039 1.151748 0.042620
19.700039 1.149893 0.042270
19.800039 1.148330 0.041880
19.900040 1.148566 0.041670
