gamma    integral   efficiency
0.100000 0.285056 0.334800
0.200000 0.516086 0.383600
0.300000 0.719196 0.435100
0.400000 0.879739 0.491800
0.500000 0.997240 0.558300
0.600000 1.073375 0.635200
0.700000 1.102952 0.718700
0.800000 1.120424 0.805100
0.900000 1.072346 0.900100
1.000000 0.988968 1.000000
1.100000 1.087860 1.000000
1.200000 1.186753 1.000000
1.300000 1.285654 1.000000
1.400000 1.384550 1.000000
1.500000 1.483445 1.000000
1.600000 1.582342 1.000000
1.700000 1.681241 1.000000
1.800000 1.780137 1.000000
1.900000 1.879031 1.000000
2.000000 1.977936 1.000000
2.100000 0.827335 0.475700
2.200000 0.283018 0.184400
2.300000 0.127173 0.089600
2.400000 0.057720 0.042500
2.500000 0.027544 0.020500
2.600000 0.006257 0.005300
2.700000 0.005430 0.004000
2.799999 0.004846 0.003000
2.899999 0.005018 0.002900
2.999999 0.004659 0.002600
3.099999 0.004806 0.002600
3.199999 0.004945 0.002500
3.299999 0.005013 0.002300
3.399999 0.005154 0.002300
3.499999 0.004669 0.001300
3.599999 0.004792 0.001300
3.699999 0.004476 0.001100
3.799999 0.004591 0.001100
3.899998 0.004703 0.001100
3.999998 0.004816 0.001100
4.099998 0.004928 0.001100
4.199998 0.005043 0.001100
4.299998 0.005155 0.001100
4.399998 0.005268 0.001100
4.499998 0.005380 0.001100
4.599998 0.005493 0.001100
4.699998 0.005607 0.001100
4.799998 0.005719 0.001100
4.899998 0.005832 0.001100
4.999998 0.005944 0.001100
5.099998 0.006059 0.001100
5.199997 0.006171 0.001100
5.299997 0.006285 0.001100
5.399997 0.006396 0.001100
5.499997 0.006510 0.001100
5.599997 0.006622 0.001100
5.699997 0.006735 0.001100
5.799997 0.006848 0.001100
5.899997 0.006756 0.001000
5.999997 0.006865 0.001000
6.099997 0.006974 0.001000
6.199996 0.007084 0.001000
6.299996 0.007195 0.001000
6.399996 0.007302 0.001000
6.499996 0.007412 0.001000
6.599996 0.007524 0.001000
6.699996 0.003590 0.000600
6.799996 0.003613 0.000600
