gamma    integral   efficiency
6.899996 0.003636 0.000600
6.999996 0.003662 0.000600
7.099996 0.003685 0.000600
7.199996 0.003708 0.000600
7.299995 0.003731 0.000600
7.399995 0.003754 0.000600
7.499995 0.003781 0.000600
7.599995 0.003668 0.000500
7.699995 0.003680 0.000500
7.799995 0.003692 0.000500
7.899995 0.003704 0.000500
7.999995 0.003719 0.000500
8.099995 0.003732 0.000500
8.199995 0.003744 0.000500
8.299995 0.003756 0.000500
8.399996 0.003768 0.000500
8.499996 0.003783 0.000500
8.599997 0.003795 0.000500
8.699997 0.003807 0.000500
8.799997 0.003819 0.000500
8.899998 0.003834 0.000500
8.999998 0.003847 0.000500
9.099998 0.003859 0.000500
9.199999 0.003871 0.000500
9.299999 0.003883 0.000500
9.400000 0.003898 0.000500
9.500000 0.003910 0.000500
9.600000 0.003922 0.000500
9.700001 0.003934 0.000500
9.800001 0.003946 0.000500
9.900002 0.003961 0.000500
10.000002 0.003974 0.000500
10.100002 0.003986 0.000500
10.200003 0.003998 0.000500
10.300003 0.004010 0.000500
10.400003 0.004025 0.000500
10.500004 0.004037 0.000500
10.600004 0.004049 0.000500
10.700005 0.004061 0.000500
10.800005 0.004073 0.000500
10.900005 0.004089 0.000500
11.000006 0.004101 0.000500
11.100006 0.004113 0.000500
11.200006 0.004125 0.000500
11.300007 0.004140 0.000500
11.400007 0.004152 0.000500
11.500008 0.004164 0.000500
11.600008 0.004176 0.000500
11.700008 0.004188 0.000500
11.800009 0.004204 0.000500
11.900009 0.004216 0.000500
12.000010 0.004228 0.000500
12.100010 0.004240 0.000500
12.200010 0.004252 0.000500
12.300011 0.004267 0.000500
12.400011 0.004279 0.000500
12.500011 0.004291 0.000500
12.600012 0.004303 0.000500
12.700012 0.004315 0.000500
12.800013 0.004331 0.000500
12.900013 0.004343 0.000500
13.000013 0.004355 0.000500
13.100014 0.004367 0.000500
13.200014 0.004379 0.000500
13.300014 0.004394 0.000500
13.400015 0.004406 0.000500
13.500015 0.004418 0.000500
13.600016 0.004430 0.000500
13.700016 0.004446 0.000500
13.800016 0.004458 0.000500
13.900017 0.004470 0.000500
14.000017 0.004482 0.000500
14.100018 0.004494 0.000500
14.200018 0.004509 0.000500
14.300018 0.004521 0.000500
14.400019 0.004533 0.000500
14.500019 0.004545 0.000500
14.600019 0.004557 0.000500
14.700020 0.004573 0.000500
14.800020 0.004585 0.000500
14.900021 0.004597 0.000500
15.000021 0.004609 0.000500
15.100021 0.004621 0.000500
15.200022 0.004636 0.000500
15.300022 0.004648 0.000500
15.400023 0.004660 0.000500
15.500023 0.004672 0.000500
15.600023 0.004685 0.000500
15.700024 0.004700 0.000500
15.800024 0.004712 0.000500
15.900024 0.004724 0.000500
16.000025 0.004736 0.000500
16.100025 0.004751 0.000500
16.200026 0.004763 0.000500
16.300026 0.004775 0.000500
16.400026 0.004787 0.000500
16.500027 0.004799 0.000500
16.600027 0.004815 0.000500
16.700027 0.004827 0.000500
16.800028 0.004839 0.000500
16.900028 0.004851 0.000500
17.000029 0.004863 0.000500
17.100029 0.004878 0.000500
17.200029 0.004890 0.000500
17.300030 0.004902 0.000500
17.400030 0.004914 0.000500
17.500031 0.004927 0.000500
17.600031 0.004942 0.000500
17.700031 0.004954 0.000500
17.800032 0.004966 0.000500
17.900032 0.004978 0.000500
18.000032 0.004990 0.000500
18.100033 0.005005 0.000500
18.200033 0.005017 0.000500
18.300034 0.005029 0.000500
18.400034 0.005042 0.000500
18.500034 0.005057 0.000500
18.600035 0.005069 0.000500
18.700035 0.005081 0.000500
18.800035 0.005093 0.000500
18.900036 0.005105 0.000500
19.000036 0.005120 0.000500
19.100037 0.005132 0.000500
19.200037 0.005144 0.000500
19.300037 0.005156 0.000500
19.400038 0.005169 0.000500
19.500038 0.005184 0.000500
19.600039 0.005196 0.000500
19.700039 0.005208 0.000500
19.800039 0.005220 0.000500
19.900040 0.005232 0.000500
